video_id,title,publish_date,description,channel_id,tags,category_id,duration,definition,dimension,view_count,like_count,dislike_count,comment_count,live_viewers
k-nX5MrBIZM,🇦🇷 SESIÓN COMPLETA: 6 de febrero 2024 - Diputados Argentina | Ley de Bases | VUELTA A COMISIÓN,2024-02-06T22:34:22Z,"CUARTA JORNADA DE DEBATE:
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

𝗥𝗘𝗖𝗜𝗡𝗧𝗢 | 14:00hs
Honorable Cámara de Diputados de la Nación Argentina.
▶ 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁: https://www.youtube.com/playlist?list=PL93Is8g0fzepiMbF7D2zO4P35tGQfmrT6
@diputados.argentina 

0:00:00 - ▶ CONTINÚA - SESIÓN ESPECIAL
0:03:02 - 𝗖𝗨𝗘𝗦𝗧𝗜𝗢𝗡𝗘𝗦 𝗗𝗘 𝗣𝗥𝗜𝗩𝗜𝗟𝗘𝗚𝗜𝗢
0:03:31 - Dip. DEL CAÑO, Nicolás - FIT-U - BSAS
0:09:06 - Dip. DEL PLÁ, Romina - FIT-U - BSAS
0:15:08 - Dip. CASTILLO, Christian - FIT-U - BSAS
0:18:14 - Dip. TONIOLLI, Eduardo - UxP - SANTA FE
0:21:42 - Dip. CARRO, Pablo - UxP - CÓRDOBA
0:28:08 - Dip. GINOCCHIO, Silvana - UxP - CATAMARCA
0:33:15 - Dip. MARINO, Juan - UxP - BSAS
0:38:13 - Dip. CAPOZZI, Sergio - PRO - RÍO NEGRO
0:40:52 - Dip. MARTINEZ, German - UxP - SANTA FE

0:46:48 - 𝗧𝗥𝗔𝗧𝗔𝗠𝗜𝗘𝗡𝗧𝗢 𝗘𝗡 𝗣𝗔𝗥𝗧𝗜𝗖𝗨𝗟𝗔𝗥
0:57:00 - 𝗔𝗥𝗧. 𝟭 - OBJETO Y PRINCIPIOS RECTORES DE LA LEY
1:19:08 - 𝗔𝗥𝗧. 𝟮
1:28:37 - 𝗔𝗥𝗧. 𝟯 - DECLARACIÓN DE EMERGENCIA PÚBLICA
2:01:28 - HOMENAJE a SEBASTIÁN PIÑERA
2:02:58 - CONTINÚA 𝗔𝗥𝗧. 𝟯
2:46:55 - 𝗔𝗥𝗧. 𝟰
2:59:54 - 𝗔𝗥𝗧. 𝟱 y 𝗔𝗥𝗧. 𝟲 - REORGANIZACIÓN ADMINISTRATIVA
4:04:37 - ⏱︎ CUARTO INTERMEDIO EN LAS BANCAS
4:53:09 - 𝗠𝗢𝗖𝗜Ó𝗡 𝗗𝗘 𝗢𝗥𝗗𝗘𝗡: Art. 127. (8) VUELTA A COMISIÓN
4:53:31 - SE LEVANTA LA SESIÓN | 19:19hs 

VOTACIONES NOMINALES: https://votaciones.hcdn.gob.ar/",UC5KfW9_wv4tqbIPgY8tMG-w,"['hcdn', 'camara de diputados', 'ley ómnibus', 'camara de diputados en vivo', 'en vivo diputados', 'dnu milei', 'congreso en vivo hoy', 'diputados tv', 'en vivo', 'noticias en vivo argentina', 'debate ley omnibus', 'noticias en vivo', 'ley omnibus debate', 'diputados en vivo', 'ley de bases', 'ley omnibus', 'congreso en vivo argentina', 'congreso en vivo', 'jornada de debate', 'diputados argentina', 'ley omnibus argentina', 'diputados', 'la nacion']",25,PT4H54M43S,hd,2d,335139,3774,0,0,0
G-Wi1xT3Ee0,🇦🇷 SESIÓN ESPECIAL: 2 de febrero 2024 - Diputados Argentina | Ley de Bases | día 3,2024-02-02T21:58:40Z,"TERCERA JORNADA DE DEBATE:
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

𝗥𝗘𝗖𝗜𝗡𝗧𝗢 | 10:00hs
Honorable Cámara de Diputados de la Nación Argentina.
▶ 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁: https://www.youtube.com/playlist?list=PL93Is8g0fzepiMbF7D2zO4P35tGQfmrT6
@diputados.argentina

EN CUARTO INTERMEDIO HASTA EL MARTES  6 DE FEBRERO 14hs:
https://www.youtube.com/watch?v=k-nX5MrBIZM",UC5KfW9_wv4tqbIPgY8tMG-w,"['hcdn', 'camara de diputados', 'ley ómnibus', 'camara de diputados en vivo', 'en vivo diputados', 'dnu milei', 'congreso en vivo hoy', 'diputados tv', 'en vivo', 'noticias en vivo argentina', 'debate ley omnibus', 'noticias en vivo', 'ley omnibus debate', 'diputados en vivo', 'ley de bases', 'ley omnibus', 'congreso en vivo argentina', 'congreso en vivo', 'jornada de debate', 'tercer jornada']",25,PT7H47M20S,hd,2d,514604,5825,0,0,0
5bQVYM8eNBs,▶ 2da. Parte 🇦🇷 SESIÓN ESPECIAL: 1 de febrero 2024 - Diputados Argentina | Ley de Bases | día 2,2024-02-02T04:24:43Z,"SEGUNDA JORNADA DE DEBATE.
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

𝗥𝗘𝗖𝗜𝗡𝗧𝗢 | 12:00hs 
Honorable Cámara de Diputados de la Nación Argentina.
▶ 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁: https://www.youtube.com/playlist?list=PL93Is8g0fzepiMbF7D2zO4P35tGQfmrT6

CONTINUA ▶ https://www.youtube.com/watch?v=G-Wi1xT3Ee0",UC5KfW9_wv4tqbIPgY8tMG-w,"['hcdn', 'camara de diputados', 'plenario de comision', 'ley ómnibus', 'camara de diputados en vivo', 'en vivo diputados', 'dnu milei', 'congreso en vivo hoy', 'diputados tv', 'en vivo', 'noticias en vivo argentina', 'debate ley omnibus', 'noticias en vivo', 'jose luis espert', 'ley omnibus debate', 'ley omnibus explicacion']",25,PT34M40S,hd,2d,8639,93,0,0,0
JYZKILCQ_Zw,🇦🇷 SESIÓN ESPECIAL: 1 de febrero 2024 - Diputados Argentina | Ley de Bases | día 2,2024-02-02T04:11:48Z,"SEGUNDA JORNADA DE DEBATE.
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

𝗥𝗘𝗖𝗜𝗡𝗧𝗢 | 12:00hs 
Honorable Cámara de Diputados de la Nación Argentina.
▶ 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁: https://www.youtube.com/playlist?list=PL93Is8g0fzepiMbF7D2zO4P35tGQfmrT6

CONTINUA ▶ https://www.youtube.com/watch?v=G-Wi1xT3Ee0

@diputados.argentina",UC5KfW9_wv4tqbIPgY8tMG-w,"['hcdn', 'camara de diputados', 'plenario de comision', 'ley ómnibus', 'camara de diputados en vivo', 'en vivo diputados', 'dnu milei', 'congreso en vivo hoy', 'diputados tv', 'en vivo', 'noticias en vivo argentina', 'debate ley omnibus', 'noticias en vivo', 'ley omnibus debate', 'diputados en vivo', 'ley de bases', 'ley omnibus', 'congreso en vivo argentina', 'congreso en vivo', 'noticias', 'argentina', 'diputados', 'diputados argentina', 'debate en vivo']",25,PT11H54M55S,hd,2d,574159,6168,0,0,0
z3N1JBqHc-Q,🇦🇷 SESIÓN ESPECIAL: 31 de enero 2024 - Diputados Argentina | Ley de Bases | día 1,2024-02-01T01:18:43Z,"PRIMER JORNADA DE DEBATE
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)
◽ - Jura de Diputados y Diputadas

▶ CONTINUA: https://www.youtube.com/watch?v=JYZKILCQ_Zw

𝗥𝗘𝗖𝗜𝗡𝗧𝗢 | 10:00hs 
Honorable Cámara de Diputados de la Nación Argentina.

▶ 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁: https://www.youtube.com/playlist?list=PL93Is8g0fzepiMbF7D2zO4P35tGQfmrT6
@diputados.argentina",UC5KfW9_wv4tqbIPgY8tMG-w,"['hcdn', 'camara de diputados', 'ley ómnibus', 'camara de diputados en vivo', 'en vivo diputados', 'dnu milei', 'congreso en vivo hoy', 'diputados tv', 'en vivo', 'noticias en vivo argentina', 'debate ley omnibus', 'noticias en vivo', 'ley omnibus debate', 'diputados en vivo', 'ley de bases', 'ley omnibus', 'congreso en vivo argentina', 'congreso en vivo', 'con cuarto intermedio']",25,PT11H23M32S,hd,2d,577816,7411,0,0,0
nqw2ChF5kJo,Izamiento de bandera e Himno Nacional - Sesión 31-01-2024,2024-01-31T13:50:14Z,"◽ - Jura de Diputados y Diputadas
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

Honorable Cámara de Diputados de la Nación Argentina.",UC5KfW9_wv4tqbIPgY8tMG-w,[],25,PT4M49S,hd,2d,455,21,0,0,0
x7aHJQG0QeM,"Secretario Parlamentario Figueroa, Tomás - Sesión 31-01-2024",2024-01-31T13:50:42Z,"◽ - Jura de Diputados y Diputadas
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

Honorable Cámara de Diputados de la Nación Argentina.",UC5KfW9_wv4tqbIPgY8tMG-w,[],25,PT1M22S,hd,2d,660,35,0,0,0
wZ9YdWn69tU,"Jura diputada Ferreyra, Alida Mónica - Sesión 31-01-2024",2024-01-31T13:53:22Z,"◽ - Jura de Diputados y Diputadas
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

Honorable Cámara de Diputados de la Nación Argentina.",UC5KfW9_wv4tqbIPgY8tMG-w,[],25,PT1M7S,hd,2d,428,4,0,0,0
ivU5QJ_nu3s,"Jura diputado Alí, Ernesto Nader - Sesión 31-01-2024",2024-01-31T13:57:45Z,"◽ - Jura de Diputados y Diputadas
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

Honorable Cámara de Diputados de la Nación Argentina.",UC5KfW9_wv4tqbIPgY8tMG-w,[],25,PT1M14S,hd,2d,304,6,0,0,0
azaqHdx6jiw,"Jura Prosecretaria Parlamentaria Losano, Ana Laura - Sesión 31-01-2024",2024-01-31T14:01:36Z,"◽ - Jura de Diputados y Diputadas
◽ - OD 1. 𝗟𝗲𝘆 𝗱𝗲 𝗕𝗮𝘀𝗲𝘀 𝘆 𝗣𝘂𝗻𝘁𝗼𝘀 𝗱𝗲 𝗣𝗮𝗿𝘁𝗶𝗱𝗮 𝗽𝗮𝗿𝗮 𝗹𝗮 𝗟𝗶𝗯𝗲𝗿𝘁𝗮𝗱 𝗱𝗲 𝗹𝗼𝘀 𝗔𝗿𝗴𝗲𝗻𝘁𝗶𝗻𝗼𝘀. (25-PE-2023)

Honorable Cámara de Diputados de la Nación Argentina.",UC5KfW9_wv4tqbIPgY8tMG-w,[],25,PT1M8S,hd,2d,133,0,0,0,0
