"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ACEVEDO, SERGIO EDGARDO","Por Santa Cruz","Santa Cruz","NEGATIVO"
"AGOST CARREÑO, OSCAR","Hacemos Coalicion Federal","Córdoba","AFIRMATIVO"
"AGUIRRE, HILDA","Union Por La Patria","La Rioja","NEGATIVO"
"AGUIRRE, MANUEL IGNACIO","Ucr - Union Civica Radical","Corrientes","AFIRMATIVO"
"AJMECHET, SABRINA","Pro","C.A.B.A.","AFIRMATIVO"
"ALI, ERNESTO NADER","Union Por La Patria","San Luis","NEGATIVO"
"ALIANIELLO, EUGENIA","Union Por La Patria","Chubut","NEGATIVO"
"ALLENDE, WALBERTO","Union Por La Patria","San Juan","NEGATIVO"
"ALMIRON, LISANDRO","La Libertad Avanza","Corrientes","AFIRMATIVO"
"ALONSO, CONSTANZA MARIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"ANSALONI, PABLO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"ANTOLA, MARCELA","Ucr - Union Civica Radical","Entre Ríos","AFIRMATIVO"
"ARABIA, DAMIAN","Pro","C.A.B.A.","AFIRMATIVO"
"ARANCIBIA RODRIGUEZ, ALBERTO GUSTAVO","La Libertad Avanza","San Luis","AFIRMATIVO"
"ARAUJO HERNANDEZ, JORGE NERI","Union Por La Patria","Tierra del Fuego","NEGATIVO"
"ARAUJO, MARIA FERNANDA","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"ARDOHAIN, MARTIN","Pro","La Pampa","AFIRMATIVO"
"ARJOL, MARTIN","Ucr - Union Civica Radical","Misiones","AFIRMATIVO"
"ARRIETA, LOURDES MICAELA","La Libertad Avanza","Mendoza","AFIRMATIVO"
"ARROYO, DANIEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"ARRUA, ALBERTO","Innovacion Federal","Misiones","AFIRMATIVO"
"AUBONE, ANA FABIOLA","Union Por La Patria","San Juan","NEGATIVO"
"AVEIRO, MARTIN","Union Por La Patria","Mendoza","NEGATIVO"
"AVICO, BELEN","Pro","Córdoba","AFIRMATIVO"
"AVILA, FERNANDA","Union Por La Patria","Catamarca","NEGATIVO"
"AVILA, JORGE ANTONIO","Hacemos Coalicion Federal","Chubut","AUSENTE"
"BACHEY, KARINA ETHEL","Pro","San Luis","AFIRMATIVO"
"BALDASSI, HECTOR W.","Pro","Córdoba","AFIRMATIVO"
"BANFI, KARINA","Ucr - Union Civica Radical","Buenos Aires","AFIRMATIVO"
"BARLETTA, MARIO","Ucr - Union Civica Radical","Santa Fe","AFIRMATIVO"
"BASTERRA, LUIS EUGENIO","Union Por La Patria","Formosa","NEGATIVO"
"BENEDETTI, ATILIO","Ucr - Union Civica Radical","Entre Ríos","AFIRMATIVO"
"BENEDIT, BELTRAN","La Libertad Avanza","Entre Ríos","AFIRMATIVO"
"BENEGAS LYNCH, BERTIE","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"BERMEJO, ADOLFO","Union Por La Patria","Mendoza","NEGATIVO"
"BERTOLDI, TANYA","Union Por La Patria","Neuquén","NEGATIVO"
"BESANA, GABRIELA","Pro","Buenos Aires","AFIRMATIVO"
"BIANCHETTI, EMMANUEL","Pro","Misiones","AFIRMATIVO"
"BONACCI, ROCIO","La Libertad Avanza","Santa Fe","AFIRMATIVO"
"BONGIOVANNI, ALEJANDRO","Pro","Santa Fe","AFIRMATIVO"
"BORDET, GUSTAVO","Union Por La Patria","Entre Ríos","NEGATIVO"
"BORNORONI, GABRIEL","La Libertad Avanza","Córdoba","AFIRMATIVO"
"BORREGO, VICTORIA","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"BRAMBILLA, SOFIA","Pro","Corrientes","AFIRMATIVO"
"BREGMAN, MYRIAM","Frente De Izquierda Y De Trabajadores Unidad","C.A.B.A.","NEGATIVO"
"BROUWER DE KONING, GABRIELA","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"BRUGGE, JUAN FERNANDO","Hacemos Coalicion Federal","Córdoba","AFIRMATIVO"
"CAFIERO, SANTIAGO","Union Por La Patria","Buenos Aires","NEGATIVO"
"CALLETTI, PAMELA","Innovacion Federal","Salta","AFIRMATIVO"
"CAMPAGNOLI, MARCELA","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"CAMPERO, MARIANO","Ucr - Union Civica Radical","Tucumán","AFIRMATIVO"
"CAMPITELLI, CELIA","Union Por La Patria","Santiago del Estero","NEGATIVO"
"CAPOZZI, SERGIO EDUARDO","Pro","Rio Negro","AFIRMATIVO"
"CARBAJAL, FERNANDO","Ucr - Union Civica Radical","Formosa","AFIRMATIVO"
"CARIGNANO, FLORENCIA","Union Por La Patria","Santa Fe","NEGATIVO"
"CARRIZO, ANA CARLA","Ucr - Union Civica Radical","C.A.B.A.","AFIRMATIVO"
"CARRIZO, SOLEDAD","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"CARRO, PABLO","Union Por La Patria","Córdoba","NEGATIVO"
"CASAS, SERGIO GUILLERMO","Union Por La Patria","La Rioja","NEGATIVO"
"CASTAGNETO, CARLOS DANIEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"CASTILLO, CHRISTIAN","Frente De Izquierda Y De Trabajadores Unidad","Buenos Aires","NEGATIVO"
"CERVI, PABLO","Ucr - Union Civica Radical","Neuquén","AFIRMATIVO"
"CHAHER, LEILA","Union Por La Patria","Jujuy","NEGATIVO"
"CHICA, JORGE","Union Por La Patria","San Juan","NEGATIVO"
"CHOMIAK, MARIA LUISA","Union Por La Patria","Chaco","NEGATIVO"
"CHUMPITAZ, GABRIEL FELIPE","Pro","Santa Fe","AFIRMATIVO"
"CIPOLINI, GERARDO","Ucr - Union Civica Radical","Chaco","AFIRMATIVO"
"CISNEROS, CARLOS","Union Por La Patria","Tucumán","NEGATIVO"
"COBOS, JULIO","Ucr - Union Civica Radical","Mendoza","AFIRMATIVO"
"COLETTA, MARIELA","Ucr - Union Civica Radical","C.A.B.A.","AFIRMATIVO"
"COLI, MARCELA","Ucr - Union Civica Radical","La Pampa","AFIRMATIVO"
"CORREA LLANO, FACUNDO","La Libertad Avanza","Mendoza","AFIRMATIVO"
"D'ALESSANDRO, CARLOS","La Libertad Avanza","San Luis","AFIRMATIVO"
"DAIVES, RICARDO","Union Por La Patria","Santiago del Estero","NEGATIVO"
"DE LA SOTA, NATALIA","Hacemos Coalicion Federal","Córdoba","NEGATIVO"
